2022-11-21 15:45:10,545 INFO    Thread-30 :19234 [dir_watcher.py:_on_file_created():275] file/dir created: /home/murali/AIM-AnimationSoftwareWorkShop/week-3lec/wandb/run-20221121_154459-2cuezdb7/files/output.log
2022-11-21 15:45:12,545 INFO    Thread-30 :19234 [dir_watcher.py:_on_file_modified():292] file/dir modified: /home/murali/AIM-AnimationSoftwareWorkShop/week-3lec/wandb/run-20221121_154459-2cuezdb7/files/output.log
2022-11-21 15:45:20,945 DEBUG   HandlerThread:19234 [handler.py:handle_request():139] handle_request: stop_status
2022-11-21 15:45:20,945 DEBUG   SenderThread:19234 [sender.py:send_request():317] send_request: stop_status
2022-11-21 15:45:32,552 INFO    Thread-30 :19234 [dir_watcher.py:_on_file_modified():292] file/dir modified: /home/murali/AIM-AnimationSoftwareWorkShop/week-3lec/wandb/run-20221121_154459-2cuezdb7/files/output.log
2022-11-21 15:45:35,553 INFO    Thread-30 :19234 [dir_watcher.py:_on_file_modified():292] file/dir modified: /home/murali/AIM-AnimationSoftwareWorkShop/week-3lec/wandb/run-20221121_154459-2cuezdb7/files/config.yaml
2022-11-21 15:45:36,154 DEBUG   HandlerThread:19234 [handler.py:handle_request():139] handle_request: stop_status
2022-11-21 15:45:36,155 DEBUG   SenderThread:19234 [sender.py:send_request():317] send_request: stop_status
2022-11-21 15:45:51,396 DEBUG   HandlerThread:19234 [handler.py:handle_request():139] handle_request: stop_status
2022-11-21 15:45:51,397 DEBUG   SenderThread:19234 [sender.py:send_request():317] send_request: stop_status
2022-11-21 15:46:05,652 DEBUG   SystemMonitor:19234 [system_monitor.py:_start():130] Starting system metrics aggregation loop
2022-11-21 15:46:05,653 DEBUG   SenderThread:19234 [sender.py:send():303] send: stats
2022-11-21 15:46:06,643 DEBUG   HandlerThread:19234 [handler.py:handle_request():139] handle_request: stop_status
2022-11-21 15:46:06,644 DEBUG   SenderThread:19234 [sender.py:send_request():317] send_request: stop_status
2022-11-21 15:46:21,847 DEBUG   HandlerThread:19234 [handler.py:handle_request():139] handle_request: stop_status
2022-11-21 15:46:21,848 DEBUG   SenderThread:19234 [sender.py:send_request():317] send_request: stop_status
2022-11-21 15:46:35,654 DEBUG   SenderThread:19234 [sender.py:send():303] send: stats
2022-11-21 15:46:37,073 DEBUG   HandlerThread:19234 [handler.py:handle_request():139] handle_request: stop_status
2022-11-21 15:46:37,073 DEBUG   SenderThread:19234 [sender.py:send_request():317] send_request: stop_status
